M|Open|SBD|Wraps|67.5|S,240.5,Elmeri Töyry,13.5.2023,Ylöjärvi,
M|Open|SBD|Wraps|82.5|S,285.5,Eemil Karjalainen,13.5.2023,Ylöjärvi,
F|Open|SBD|Wraps|75|S,237.5,Hanna Luukkonen,14.5.2023,Ylöjärvi,
F|Open|SBD|Wraps|75|SBD,608,Hanna Luukkonen,14.5.2023,Ylöjärvi,
F|J20-23|SBD|Wraps|75|S,237.5,Hanna Luukkonen,14.5.2023,Ylöjärvi,
F|J20-23|SBD|Wraps|75|SBD,608,Hanna Luukkonen,14.5.2023,Ylöjärvi,
F|M55-59|SBD|Wraps|60|S,162.5,Tuulikki Kare,14.5.2023,Ylöjärvi,
F|M55-59|SBD|Wraps|60|SBD,412.5,Tuulikki Kare,14.5.2023,Ylöjärvi,
F|M65-69|SBD|Wraps|75|S,100,Maiju Pohjannoro,14.5.2023,Ylöjärvi,
F|M65-69|SBD|Wraps|75|SBD,305,Maiju Pohjannoro,14.5.2023,Ylöjärvi,
M|Open|SBD|Sleeves|125|S,320,Iiro Jokipalo,13.5.2023,Ylöjärvi,
F|Open|SBD|Raw|60|D,180,Tuulikki Kare,14.5.2023,Ylöjärvi,
F|Open|SBD|Raw|75|B,130.5,Hanna Luukkonen,14.5.2023,Ylöjärvi,
F|Open|SBD|Sleeves|90|S,182.5,Emma Huhta,14.5.2023,Ylöjärvi,
F|Open|SBD|Sleeves|90|SBD,500,Emma Huhta,14.5.2023,Ylöjärvi,
F|T13-15|SBD|Sleeves|90|S,92.5,Inka Arhenius,14.5.2023,Ylöjärvi,
F|T13-15|SBD|Raw|90|B,50,Inka Arhenius,14.5.2023,Ylöjärvi,
F|T13-15|SBD|Raw|90|D,120,Inka Arhenius,14.5.2023,Ylöjärvi,
F|T13-15|SBD|Sleeves|90|SBD,262.5,Inka Arhenius,14.5.2023,Ylöjärvi,
M|T16-17|SBD|Sleeves|82.5|S,175,Arttu Haataja,14.5.2023,Ylöjärvi,
M|T16-17|SBD|Raw|82.5|B,105,Arttu Haataja,14.5.2023,Ylöjärvi,
M|T16-17|SBD|Raw|82.5|D,220,Arttu Haataja,14.5.2023,Ylöjärvi,
M|T16-17|SBD|Sleeves|82.5|SBD,500,Arttu Haataja,14.5.2023,Ylöjärvi,
M|J20-23|SBD|Sleeves|125|S,167.5,Iivari Isoniemi,14.5.2023,Ylöjärvi,
M|J20-23|SBD|Raw|125|B,201,Ahmed Sherif,14.5.2023,Ylöjärvi,
M|J20-23|SBD|Sleeves|125|SBD,472.5,Iivari Isoniemi,14.5.2023,Ylöjärvi,
F|J20-23|SBD|Sleeves|60|S,107.5,Aino Ehrukainen,14.5.2023,Ylöjärvi,
F|J20-23|SBD|Raw|60|D,148,Aino Ehrukainen,14.5.2023,Ylöjärvi,
F|J20-23|SBD|Sleeves|60|SBD,308,Aino Ehrukainen,14.5.2023,Ylöjärvi,
F|J20-23|SBD|Raw|75|B,130.5,Hanna Luukkonen,14.5.2023,Ylöjärvi,
M|M40-44|SBD|Sleeves|125|S,300,Olli Myöhänen,14.5.2023,Ylöjärvi,
M|M40-44|SBD|Raw|125|B,220,Olli Myöhänen,14.5.2023,Ylöjärvi,
M|M40-44|SBD|Raw|125|D,330,Olli Myöhänen,14.5.2023,Ylöjärvi,
M|M40-44|SBD|Sleeves|125|SBD,850,Olli Myöhänen,14.5.2023,Ylöjärvi,
M|M55-59|SBD|Sleeves|100|S,207.5,Juha Järvisalo,14.5.2023,Ylöjärvi,
M|M55-59|SBD|Sleeves|100|SBD,572.5,Juha Järvisalo,14.5.2023,Ylöjärvi,
F|M55-59|SBD|Raw|60|B,70,Tuulikki Kare,14.5.2023,Ylöjärvi,
F|M55-59|SBD|Raw|60|D,180,Tuulikki Kare,14.5.2023,Ylöjärvi,
F|M65-69|SBD|Sleeves|60|S,55,Pihla-Terttu Oksanen,14.5.2023,Ylöjärvi,
F|M65-69|SBD|Raw|60|B,30,Pihla-Terttu Oksanen,14.5.2023,Ylöjärvi,
F|M65-69|SBD|Raw|60|D,95,Pihla-Terttu Oksanen,14.5.2023,Ylöjärvi,
F|M65-69|SBD|Sleeves|60|SBD,177.5,Pihla-Terttu Oksanen,14.5.2023,Ylöjärvi,
F|M65-69|SBD|Raw|75|B,55,Maiju Pohjannoro,14.5.2023,Ylöjärvi,
F|M65-69|SBD|Raw|75|D,150,Maiju Pohjannoro,14.5.2023,Ylöjärvi,
M|M70-74|SBD|Sleeves|100|S,170,Raimo Lehtimäki,14.5.2023,Ylöjärvi,
M|M70-74|SBD|Raw|100|D,212,Raimo Lehtimäki,14.5.2023,Ylöjärvi,
M|M70-74|SBD|Sleeves|100|SBD,459.5,Raimo Lehtimäki,14.5.2023,Ylöjärvi,
